index	label	cifti_label	color_red	color_green	color_blue	opacity
144	PCun_R_4_3	PCun_R_4_3	176	255	246	255
145	PCun_L_4_4	PCun_L_4_4	62	220	149	255
146	PCun_R_4_4	PCun_R_4_4	167	202	70	255
147	PoG_L_4_1	PoG_L_4_1	132	141	176	255
148	PoG_R_4_1	PoG_R_4_1	88	53	185	255
149	PoG_L_4_2	PoG_L_4_2	193	149	237	255
150	PoG_R_4_2	PoG_R_4_2	97	114	0	255
151	PoG_L_4_3	PoG_L_4_3	255	132	185	255
152	PoG_R_4_3	PoG_R_4_3	185	0	97	255
153	PoG_L_4_4	PoG_L_4_4	167	237	123	255
154	PoG_R_4_4	PoG_R_4_4	255	246	0	255
155	INS_L_6_1	INS_L_6_1	123	0	35	255
156	INS_R_6_1	INS_R_6_1	193	255	88	255
157	INS_L_6_2	INS_L_6_2	79	149	62	255
158	INS_R_6_2	INS_R_6_2	0	62	141	255
159	INS_L_6_3	INS_L_6_3	88	44	211	255
160	INS_R_6_3	INS_R_6_3	246	79	176	255
161	CG_L_5_1	CG_L_5_1	158	141	9	255
162	CG_R_5_1	CG_R_5_1	123	123	132	255
163	CG_L_5_2	CG_L_5_2	149	97	106	255
164	CG_R_5_2	CG_R_5_2	106	202	88	255
165	CG_L_5_3	CG_L_5_3	211	158	158	255
166	CG_R_5_3	CG_R_5_3	158	88	149	255
167	CG_L_5_4	CG_L_5_4	220	193	202	255
168	CG_R_5_4	CG_R_5_4	149	62	237	255
169	CG_L_5_5	CG_L_5_5	167	97	237	255
170	CG_R_5_5	CG_R_5_5	97	79	44	255
171	MVOcC_L_5_1	MVOcC_L_5_1	0	106	106	255
172	MVOcC_R_5_1	MVOcC_R_5_1	255	246	123	255
173	MVOcC_L_5_2	MVOcC_L_5_2	88	255	229	255
174	MVOcC_R_5_2	MVOcC_R_5_2	211	237	255	255
175	MVOcC_L_5_3	MVOcC_L_5_3	97	35	255	255
176	MVOcC_R_5_3	MVOcC_R_5_3	106	9	141	255
177	MVOcC_L_5_4	MVOcC_L_5_4	132	62	149	255
178	MVOcC_R_5_4	MVOcC_R_5_4	106	114	79	255
179	MVOcC_L_5_5	MVOcC_L_5_5	132	255	193	255
180	MVOcC_R_5_5	MVOcC_R_5_5	158	0	132	255
181	LOcC_L_4_1	LOcC_L_4_1	97	158	158	255
182	LOcC_R_4_1	LOcC_R_4_1	202	0	202	255
183	LOcC_L_4_2	LOcC_L_4_2	35	106	220	255
184	LOcC_R_4_2	LOcC_R_4_2	35	44	0	255
185	LOcC_L_4_3	LOcC_L_4_3	220	97	88	255
186	LOcC_R_4_3	LOcC_R_4_3	114	123	185	255
187	LOcC_L_4_4	LOcC_L_4_4	149	18	70	255
188	LOcC_R_4_4	LOcC_R_4_4	211	202	255	255
189	mAmyg_L	mAmyg_L	255	120	62	0
190	mAmyg_R	mAmyg_R	255	117	60	0
191	lAmyg_L	lAmyg_L	255	115	59	0
192	lAmyg_R	lAmyg_R	255	112	57	0
193	rHipp_L	rHipp_L	255	106	54	0
194	rHipp_R	rHipp_R	255	103	53	0
